sample,task,student,transcript,recording_path,filtered,subtask_name,task_name,len_seconds,garbage_count,non_final_garbage_count,stutter_count,asterisk_count,filler_count,filtered_transcript,content_transcript,filtered_transcript_no_garbage,num_content_tokens,num_content_types,TTR,cefr,task_completion,keep,cefr_bin,subtask_test_train,task_test_train,task_wer_no_garb,task_cer_no_garb,task_prediction,subtask_wer_no_garb,subtask_cer_no_garb,subtask_prediction,infitms,infitmz,wer_task_subs,wer_task_dels,wer_task_ins,cer_task_subs,cer_task_dels,cer_task_ins,wer_subtask_subs,wer_subtask_dels,wer_subtask_ins,cer_subtask_subs,cer_subtask_dels,cer_subtask_ins
205,3,99,tack för mm god,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/joens_tf2/recording.wav,False,4_4,4,11.517125,0,0,0,0,1,tack för mm god,tack för god,tack för mm god,3,3,1.0,1.99,1.53,1,2,eval,test,0.25,0.06666666666666667,tack för mm od,9999.0,9999.0,9999,0.23,-0.7,1,0,0,0,1,0,9999,9999,9999,9999,9999,9999
206,3,116,tack så mycket för bra <garbage> lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/joens_vma/recording.wav,False,4_4,4,15.6038125,1,1,0,0,0,tack så mycket för bra <garbage> lektion,tack så mycket för bra lektion,tack så mycket för bra lektion,6,6,1.0,2.4,2.18,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.14,-0.54,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
207,3,36,ää tack för ää bra lektion lektion lärare,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/joens_vq3/recording.wav,False,4_4,4,9.288,0,0,0,0,2,ää tack för ää bra lektion lektion lärare,tack för bra lektion lektion lärare,ää tack för ää bra lektion lektion lärare,6,5,0.8333333333333334,2.97,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.24,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
208,3,37,tack för god klassen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/joens_vq5/recording.wav,False,4_4,4,7.430375,0,0,0,0,0,tack för god klassen,tack för god klassen,tack för god klassen,4,4,1.0,2.4,2.18,1,2,eval,test,0.5,0.15,tack för koudklassen,9999.0,9999.0,9999,0.14,-0.54,1,1,0,3,0,0,9999,9999,9999,9999,9999,9999
209,3,117,tack för bra lektioner,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/joens_vy7/recording.wav,False,4_4,4,6.3158125,0,0,0,0,0,tack för bra lektioner,tack för bra lektioner,tack för bra lektioner,4,4,1.0,2.97,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.24,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
210,3,39,tack för bra lektion lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/joens_wy7/recording.wav,False,4_4,4,7.801875,0,0,0,0,0,tack för bra lektion lektion,tack för bra lektion lektion,tack för bra lektion lektion,5,4,0.8,2.97,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.24,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
211,3,118,öö tack för öö en bra öö lektion en bra lektion lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/joens_x7v/recording.wav,False,4_4,4,11.517125,0,0,0,0,3,öö tack för öö en bra öö lektion en bra lektion lektion,tack för en bra lektion en bra lektion lektion,öö tack för öö en bra öö lektion en bra lektion lektion,9,5,0.5555555555555556,2.4,2.18,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.14,-0.54,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
212,3,41,tack för det lektionen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/joens_ygy/recording.wav,False,4_4,4,5.20125,0,0,0,0,0,tack för det lektionen,tack för det lektionen,tack för det lektionen,4,4,1.0,2.97,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.24,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
213,3,119,öö tack för god lektionen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/joens_yrs/recording.wav,False,4_4,4,6.3158125,0,0,0,0,1,öö tack för god lektionen,tack för god lektionen,öö tack för god lektionen,4,4,1.0,2.97,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.24,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
214,3,45,öö öö tack lärare för bra läxan,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/joens_zz3/recording.wav,False,4_4,4,12.260125,0,0,0,0,2,öö öö tack lärare för bra läxan,tack lärare för bra läxan,öö öö tack lärare för bra läxan,5,5,1.0,2.97,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.24,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
215,3,46,öö tack så mycket för bra lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_247/recording.wav,False,4_4,4,11.1455625,0,0,0,0,1,öö tack så mycket för bra lektion,tack så mycket för bra lektion,öö tack så mycket för bra lektion,6,6,1.0,3.98,2.18,1,4,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.11,-0.94,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
216,3,48,tack för öö tack för den bra lektionen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_46m/recording.wav,False,4_4,4,7.058875,0,0,0,0,1,tack för öö tack för den bra lektionen,tack för tack för den bra lektionen,tack för öö tack för den bra lektionen,7,5,0.7142857142857143,2.97,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.24,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
217,3,120,tack så mycket om bra <garbage> läsa,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_74a/recording.wav,False,4_4,4,11.888625,1,1,0,0,0,tack så mycket om bra <garbage> läsa,tack så mycket om bra läsa,tack så mycket om bra läsa,6,6,1.0,1.99,1.53,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.23,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
218,3,50,tack för en bra lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_8gp/recording.wav,False,4_4,4,5.20125,0,0,0,0,0,tack för en bra lektion,tack för en bra lektion,tack för en bra lektion,5,5,1.0,3.98,2.18,1,4,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.11,-0.94,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
219,3,52,tack för de öö bra le- öö lektionen det var trevligt,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_ef5/recording.wav,False,4_4,4,8.9164375,0,0,1,0,2,tack för de öö bra le öö lektionen det var trevligt,tack för de bra lektionen det var trevligt,tack för de öö bra le öö lektionen det var trevligt,8,8,1.0,4.12,2.18,1,4,eval,train,9999.0,9999.0,9999,9999.0,9999.0,9999,0.55,-0.41,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
220,3,54,hej det var bra lektionen idag,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_f4j/recording.wav,False,4_4,4,6.3158125,0,0,0,0,0,hej det var bra lektionen idag,hej det var bra lektionen idag,hej det var bra lektionen idag,6,6,1.0,3.98,2.18,1,4,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.11,-0.94,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
221,3,121,tack för din bra lektionen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_gky/recording.wav,False,4_4,4,7.801875,0,0,0,0,0,tack för din bra lektionen,tack för din bra lektionen,tack för din bra lektionen,5,5,1.0,3.49,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
222,3,56,tack för bra <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_gqe/recording.wav,False,4_4,4,4.82975,1,0,0,0,0,tack för bra <garbage>,tack för bra,tack för bra,3,3,1.0,1.99,1.04,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.23,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
223,3,58,tack så mycket det var så bra lektionen den var så bra lektionen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_jrg/recording.wav,False,4_4,4,10.7740625,0,0,0,0,0,tack så mycket det var så bra lektionen den var så bra lektionen,tack så mycket det var så bra lektionen den var så bra lektionen,tack så mycket det var så bra lektionen den var så bra lektionen,13,8,0.6153846153846154,3.49,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
224,3,60,tack för den bra klass lektion tack för den bra lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_kr8/recording.wav,False,4_4,4,11.888625,0,0,0,0,0,tack för den bra klass lektion tack för den bra lektion,tack för den bra klass lektion tack för den bra lektion,tack för den bra klass lektion tack för den bra lektion,11,6,0.5454545454545454,3.49,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
225,3,61,tack för en bra lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_ppj/recording.wav,False,4_4,4,6.687375,0,0,0,0,0,tack för en bra lektion,tack för en bra lektion,tack för en bra lektion,5,5,1.0,3.98,2.18,1,4,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.11,-0.94,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
226,3,122,tack för lektion det var bra,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_r8p/recording.wav,False,4_4,4,10.9226875,0,0,0,0,0,tack för lektion det var bra,tack för lektion det var bra,tack för lektion det var bra,6,6,1.0,3.49,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
227,3,63,tack för gott lekt-,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_svd/recording.wav,False,4_4,4,4.45825,0,0,1,0,0,tack för gott lekt,tack för gott,tack för gott lekt,3,3,1.0,1.99,2.01,1,2,eval,train,9999.0,9999.0,9999,9999.0,9999.0,9999,0.23,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
228,3,64,<garbage> öö tack så mycket det var jätte em jätte <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_tq9/recording.wav,False,4_4,4,7.801875,2,0,0,0,1,<garbage> öö tack så mycket det var jätte em jätte <garbage>,tack så mycket det var jätte em jätte,öö tack så mycket det var jätte em jätte,8,7,0.875,2.97,2.01,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.24,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
229,3,65,tack för en bra klass,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_txc/recording.wav,False,4_4,4,5.8026875,0,0,0,0,0,tack för en bra klass,tack för en bra klass,tack för en bra klass,5,5,1.0,2.97,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,3.79,1.91,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
230,3,123,tack för bra lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_vnp/recording.wav,False,4_4,4,8.5449375,0,0,0,0,0,tack för bra lektion,tack för bra lektion,tack för bra lektion,4,4,1.0,3.49,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
231,3,67,tack för <garbage> bra lektion min lärare,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_weg/recording.wav,False,4_4,4,9.8986875,1,1,0,0,0,tack för <garbage> bra lektion min lärare,tack för bra lektion min lärare,tack för bra lektion min lärare,6,6,1.0,3.49,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
232,3,124,öö tack för bra lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/jyvas_zh4/recording.wav,False,4_4,4,8.1734375,0,0,0,0,1,öö tack för bra lektion,tack för bra lektion,öö tack för bra lektion,4,4,1.0,3.98,2.18,1,4,eval,test,0.0,0.0,öö tack för bra lektion,9999.0,9999.0,9999,0.11,-0.94,0,0,0,0,0,0,9999,9999,9999,9999,9999,9999
233,3,125,tack för bra lektion lärare nina<name>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/kauni_br8/recording.wav,False,4_4,4,6.687375,0,0,0,0,0,tack för bra lektion lärare nina,tack för bra lektion lärare nina,tack för bra lektion lärare nina,6,6,1.0,3.98,2.18,1,4,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.11,-0.94,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
234,3,72,tack för god lektion lektionen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_3h2/recording.wav,False,4_4,4,11.1455625,0,0,0,0,0,tack för god lektion lektionen,tack för god lektion lektionen,tack för god lektion lektionen,5,5,1.0,2.4,2.18,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.14,-0.54,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
235,3,126,kan jag få en meny,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_3qp/recording.wav,True,4_4,4,5.20125,0,0,0,0,0,kan jag få en meny,kan jag få en meny,kan jag få en meny,5,5,1.0,9999.0,0.0,0,0,-,-,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
236,3,75,öö tack för den bra mm lektionen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_64b/recording.wav,False,4_4,4,11.517125,0,0,0,0,2,öö tack för den bra mm lektionen,tack för den bra lektionen,öö tack för den bra mm lektionen,5,5,1.0,3.49,2.18,1,3,eval,test,0.14285714285714285,0.0625,a tack för den bra mm lektionen,9999.0,9999.0,9999,0.1,-0.28,1,0,0,1,1,0,9999,9999,9999,9999,9999,9999
237,3,127,<garbage> tack för en bra lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_6g7/recording.wav,False,4_4,4,5.9443125,1,0,0,0,0,<garbage> tack för en bra lektion,tack för en bra lektion,tack för en bra lektion,5,5,1.0,3.98,2.18,1,4,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.11,-0.94,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
238,3,76,tack för en bra,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_6jf/recording.wav,False,4_4,4,19.319000000000006,0,0,0,0,0,tack för en bra,tack för en bra,tack för en bra,4,4,1.0,1.99,1.04,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.23,-0.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
239,3,78,tack så mycket för den rolig lektionen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_8e7/recording.wav,False,4_4,4,7.801875,0,0,0,0,0,tack så mycket för den rolig lektionen,tack så mycket för den rolig lektionen,tack så mycket för den rolig lektionen,7,7,1.0,3.49,2.01,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
240,3,80,mm tack så mycket,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_bdv/recording.wav,False,4_4,4,9.6595,0,0,0,0,1,mm tack så mycket,tack så mycket,mm tack så mycket,3,3,1.0,1.45,1.04,1,1,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.11,-0.41,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
241,3,81,tackar för den s- *stunde* idag,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_bn3/recording.wav,False,4_4,4,7.801875,0,0,1,1,0,tackar för den s stunde idag,tackar för den *stunde* idag,tackar för den s stunde idag,5,5,1.0,2.4,2.01,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.14,-0.54,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
242,3,128,tack för bra timmen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_bnb/recording.wav,False,4_4,4,8.1734375,0,0,0,0,0,tack för bra timmen,tack för bra timmen,tack för bra timmen,4,4,1.0,3.49,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
243,3,105,tack för br- tack för bra lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_bvc/recording.wav,False,4_4,4,5.20125,0,0,1,0,0,tack för br tack för bra lektion,tack för tack för bra lektion,tack för br tack för bra lektion,6,4,0.6666666666666666,3.49,2.18,1,3,eval,train,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
244,3,129,tack för idag,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_d49/recording.wav,False,4_4,4,5.9443125,0,0,0,0,0,tack för idag,tack för idag,tack för idag,3,3,1.0,3.49,2.01,1,3,eval,train,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
245,3,84,öö tack för ee för en bra lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_dwt/recording.wav,False,4_4,4,6.3158125,0,0,0,0,2,öö tack för ee för en bra lektion,tack för för en bra lektion,öö tack för ee för en bra lektion,6,5,0.8333333333333334,3.49,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
246,3,130,tack fo- tack för bra kla- aa lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_m2p/recording.wav,False,4_4,4,7.430375,0,0,2,0,1,tack fo tack för bra kla aa lektion,tack tack för bra lektion,tack fo tack för bra kla aa lektion,5,4,0.8,3.49,2.18,1,3,eval,test,0.375,0.14285714285714285,tack för tack för bra kl öö lektion,9999.0,9999.0,9999,0.1,-0.28,3,0,0,3,1,1,9999,9999,9999,9999,9999,9999
247,3,131,<garbage> tack för bra,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_nfn/recording.wav,False,4_4,4,9.6595,1,0,0,0,0,<garbage> tack för bra,tack för bra,tack för bra,3,3,1.0,2.4,1.53,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.14,-0.54,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
248,3,106,tack så mycket för den här lektionen det var jätte god,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_p5h/recording.wav,False,4_4,4,9.288,0,0,0,0,0,tack så mycket för den här lektionen det var jätte god,tack så mycket för den här lektionen det var jätte god,tack så mycket för den här lektionen det var jätte god,11,11,1.0,3.98,2.18,1,4,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,3.22,1.61,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
249,3,88,ööm öö lärare ööm öö tack för ääm jätte bra timmar,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_tfx/recording.wav,False,4_4,4,13.3746875,0,0,0,0,3,ööm öö lärare ööm öö tack för ääm jätte bra timmar,ööm lärare ööm tack för jätte bra timmar,ööm öö lärare ööm öö tack för ääm jätte bra timmar,8,7,0.875,3.49,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
250,3,132,öö tack läraren för bra klass,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_vup/recording.wav,False,4_4,4,10.7740625,0,0,0,0,1,öö tack läraren för bra klass,tack läraren för bra klass,öö tack läraren för bra klass,5,5,1.0,3.49,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
251,3,91,tack <garbage> tack för en intressant lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_yz8/recording.wav,False,4_4,4,9.6595,1,1,0,0,0,tack <garbage> tack för en intressant lektion,tack tack för en intressant lektion,tack tack för en intressant lektion,6,5,0.8333333333333334,2.97,2.01,1,3,eval,test,0.5,0.2,tack fötack för öe intresad lektion,9999.0,9999.0,9999,3.79,1.91,3,0,0,3,2,2,9999,9999,9999,9999,9999,9999
252,3,133,tackar läraren för bra klassen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/olari_zkh/recording.wav,False,4_4,4,5.9443125,0,0,0,0,0,tackar läraren för bra klassen,tackar läraren för bra klassen,tackar läraren för bra klassen,5,5,1.0,2.97,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,3.79,1.91,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
253,3,134,tack för en god stund timmen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/riihi_dgq/recording.wav,False,4_4,4,8.1734375,0,0,0,0,0,tack för en god stund timmen,tack för en god stund timmen,tack för en god stund timmen,6,6,1.0,2.4,2.18,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.14,-0.54,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
254,3,96,tack för en bra lektion,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/riihi_fe5/recording.wav,False,4_4,4,5.9443125,0,0,0,0,0,tack för en bra lektion,tack för en bra lektion,tack för en bra lektion,5,5,1.0,4.12,2.18,1,4,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,1.08,0.37,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
255,3,135,tack för det bra lektionen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_4/riihi_tfz/recording.wav,False,4_4,4,6.687375,0,0,0,0,0,tack för det bra lektionen,tack för det bra lektionen,tack för det bra lektionen,5,5,1.0,3.49,2.18,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.1,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
256,4,3,kan jag få en meny,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_10/joens_66u/recording.wav,False,4_10,4,6.687375,0,0,0,0,0,kan jag få en meny,kan jag få en meny,kan jag få en meny,5,5,1.0,4.04,2.36,1,4,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.18,-1.3,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
257,4,108,kan jag har den meny,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/4/4_10/joens_6a6/recording.wav,False,4_10,4,9.6595,0,0,0,0,0,kan jag har den meny,kan jag har den meny,kan jag har den meny,5,5,1.0,2.07,2.01,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.34,-0.92,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
